Term,Definition
dítě,et barn
dědeček,en bestefar
knihovník,en bibliotekar
dcera,ei / en datter
rybář,en fisker
host,en gjest
novinář,en journalist
malíř,en maler
maminka,en mamma
tatínek,en pappa
cestovní kancelář,et reisebyrå
vedoucí, nadřízený,en sjef
syn,en sønn
přítelkyně,ei / en venninne
dobře,bra
ne,ikke
zajímavý,interessant
ano,ja
já,jeg
s,med
ne,nei
norský,norsk
také,også
tak/takže/tedy,så
děkuji,takk
do/k,til
český,tsjekkisk
vítejte!,velkommen!
my,vi
být,være
matka,ei / en mor
máma,en mamma
babička,ei / en bestemor
sestra,ei / en søster
otec,en far
táta,en pappa
dědeček,en bestefar
bratr,en bror
advokát,en advokat
architekt,en arkitekt
knihovník,en bibliotekar
elektrikář,en elektriker
filozof,en filosof
rybář,en fisker
fotograf,en fotograf
kadeřník,en frisør
inženýr,en ingeniør
novinář,en journalist
učitel,en lærer
malíř,en maler
mechanik,en mekaniker
policista,en politimann
prezident,en president
sekretářka,en sekretær
vedoucí,en sjef
řidič,en sjåfør
technik,en tekniker
